OrganizationName,OrganizationID,RepositoryURL,bom-ref,type,group,name,version,purl,dependsOn
,,https://github.com/Cloud-Native-Security/website,00fd8167-2093-4672-ad74-4d9ed0348150,library,,workbox-build,6.6.0,pkg:npm/workbox-build@6.6.0,"03d141dd-0d27-4622-9f44-0d971af33ef9, 0512e988-1664-4b7b-adfe-52c8bbc972a6, 0c9357f7-bc3c-4ed4-85d3-3126ff24d22e, 0e1811a4-906c-4e87-9172-29d921806d71, 128c11bc-f2de-4d63-844d-0eb7c3aab0f7, 13bf42f8-f400-44e9-8bdb-80fc2d7cec5a, 14d3489b-acf6-44ba-8367-d83e489ff23c, 16b8d2f5-53a8-40fb-8335-958139920c81, 28df209c-5b39-4d74-a568-fdf218cea1d4, 2d0c3702-898a-496e-9016-c9e573079456, 30e0ff6a-32a8-448d-81fe-4957d127785d, 4d3524fb-eda9-4c69-881d-9537a790c621, 500024ba-5dda-4e45-8bef-1f475a7b291f, 512fb11d-9bc4-423a-be0e-54bfb2472b8a, 57636316-0c71-4d90-af5d-7b42b4d34d83, 5e21b57c-9b1b-4806-92a5-a4ee4838c86b, 69559a32-710b-40eb-b60e-5d3527407f84, 6f6aaae3-07ed-4a61-8b0b-f250e17ba1a8, 780fc8bd-6aa7-4deb-a723-85eabe831220, 79e7cf50-07b0-45ff-8325-f439b249aa8b, 89f63452-5753-4f44-92c6-be5bf08659c8, 8d2b9c93-b4f0-4178-bb0e-78cee3b4415d, 8d8293fa-05c9-4223-8cc1-7f86a79ba1c1, 94d3673d-f2ff-4b84-9936-e68cce2065e2, 97d62f36-904c-4d42-b4c9-c2dfae41d4d0, a141c18c-50e4-42ed-b5d3-cf3bd388904c, a181d7a5-432d-4772-8183-eaf92da72832, a2bf2e84-8b83-4ea7-8e1f-2f6ac7be4e46, a75757c1-62c4-4f5d-8adf-75a747315d1d, aff46e2d-62c6-4bd1-9064-ee984767cac1, b80f1d01-a0b7-4cef-b5b4-bb0244702228, cb685615-c651-4a71-8142-4e866955be32, e7e3df3f-fbfd-4806-aa0c-974b883d3df0, ee9a98bf-052d-4adf-9126-5117af94b871, f0bf4a26-ea57-4682-b2e3-88eb556c316b, f7d53252-ca2b-4938-85a5-f78dde201486, f8c37f7d-77e1-44e9-b5a2-717fd3f90ec8"
,,https://github.com/Cloud-Native-Security/website,013cbc82-17c6-4ac9-897f-bc568f85a940,library,@babel,plugin-transform-modules-commonjs,7.23.3,pkg:npm/%40babel/plugin-transform-modules-commonjs@7.23.3,"c0ef42d2-33fa-459a-ba95-96d44e440fbf, dbb3b72f-a16d-4f44-97fb-7f62ff5e3ba3, f8a67e14-3ce0-49d5-a74e-babb160d403c"
,,https://github.com/Cloud-Native-Security/website,016ac62a-9f59-4103-85d6-d8cc5cbc250b,library,,babel-plugin-polyfill-corejs3,0.9.0,pkg:npm/babel-plugin-polyfill-corejs3@0.9.0,"97416b58-cb6d-4cc9-86ab-3407ddb52a79, fcfc0ac6-faf0-4c64-901a-de45fc947f2e"
,,https://github.com/Cloud-Native-Security/website,0171f387-68be-439f-9a20-27530d731d04,library,@babel,plugin-transform-modules-umd,7.23.3,pkg:npm/%40babel/plugin-transform-modules-umd@7.23.3,"c0ef42d2-33fa-459a-ba95-96d44e440fbf, dbb3b72f-a16d-4f44-97fb-7f62ff5e3ba3"
,,https://github.com/Cloud-Native-Security/website,01802b8b-40b8-485c-92fc-692bffb192cc,library,,globals,11.12.0,pkg:npm/globals@11.12.0,
,,https://github.com/Cloud-Native-Security/website,01ac2cc2-e5c2-4294-b475-a44363a7bda8,library,@types,sockjs,0.3.36,pkg:npm/%40types/sockjs@0.3.36,3d1726ac-404f-46da-95b4-66aba171002c
,,https://github.com/Cloud-Native-Security/website,01aee0ab-244f-45c6-8463-8803bd4d335a,library,,is-plain-obj,3.0.0,pkg:npm/is-plain-obj@3.0.0,
,,https://github.com/Cloud-Native-Security/website,01b44852-38e7-4901-864b-f8dbd0c2271c,library,,wrappy,1.0.2,pkg:npm/wrappy@1.0.2,
,,https://github.com/Cloud-Native-Security/website,020d1d29-4ea0-4294-a9bf-487552cac453,library,,postcss-minify-gradients,5.1.1,pkg:npm/postcss-minify-gradients@5.1.1,"6f24762f-d65a-4139-9efd-3821cf04009a, 9d824c8b-1965-44c8-a3d9-3aee0a0825bc, a3823e65-66a1-4748-be7b-198af4807048"
,,https://github.com/Cloud-Native-Security/website,0228f98e-86fb-4503-a4db-3fbe821f15be,library,@jest,types,29.6.3,pkg:npm/%40jest/types@29.6.3,"0c729c09-3bb6-4522-b39d-a4e1063534b2, 3d1726ac-404f-46da-95b4-66aba171002c, 7d3356fb-a14b-42d9-8065-3ef50c9089af, a69abda3-500b-4b26-8557-a0abff78d8cc, d99ab8a5-2ea5-4240-b9d5-1e31ebd71e9f, ea391751-4281-496a-a5d8-28acd17f73b4"
