OrganizationName,OrganizationID,RepositoryURL,bom-ref,type,group,name,version,purl,dependsOn
,,https://github.com/rustdesk/rustdesk,3effe842-47a9-4457-8c0d-023e5219bc17,library,,proc-macro-error,1.0.4,pkg:cargo/proc-macro-error@1.0.4,"9f473092-fb36-4bd0-bfd6-1c3ef9392466, ba6fb264-fcdd-47dd-adb7-d10a039faf2e, f9a04d3f-1e3b-4628-8c9e-a6735470b4d7, pkg:cargo/proc-macro2@1.0.79, pkg:cargo/quote@1.0.35"
,,https://github.com/rustdesk/rustdesk,451fe4d1-f54c-48f6-a0ac-40ec87407c86,library,,lebe,0.5.2,pkg:cargo/lebe@0.5.2,
,,https://github.com/rustdesk/rustdesk,469d5005-97c4-4644-9bf8-6c5e980c7dff,application,,libs/portable/Cargo.lock,,,"1256db80-d961-4527-a58f-b34e1b4bf083, 8afa06fb-bd06-4705-a423-d36de4129968"
,,https://github.com/rustdesk/rustdesk,4b02ad11-64d9-44a8-b569-c5808c46e915,application,,res/msi/CustomActions/packages.config,,,"pkg:nuget/WixToolset.DUtil@4.0.5, pkg:nuget/WixToolset.WcaUtil@4.0.5"
,,https://github.com/rustdesk/rustdesk,4d2bfd18-c343-4348-93a4-a195ee071c0f,library,,num-integer,0.1.45,pkg:cargo/num-integer@0.1.45,"e8f08a36-1172-448b-82d8-96b594978a63, pkg:cargo/num-traits@0.2.15"
,,https://github.com/rustdesk/rustdesk,50726436-bf7b-48c7-8368-001edd658c2e,library,,sqflite,0.0.3,pkg:cocoapods/sqflite@0.0.3,pkg:cocoapods/Flutter@1.0.0
,,https://github.com/rustdesk/rustdesk,54fe5f04-bf4a-416d-ac29-10a31b703069,library,,jpeg-decoder,0.3.0,pkg:cargo/jpeg-decoder@0.3.0,pkg:cargo/rayon@1.8.0
,,https://github.com/rustdesk/rustdesk,56e162d2-1f69-459f-ade9-04d29256adbc,library,,device_info_plus,0.0.1,pkg:cocoapods/device_info_plus@0.0.1,pkg:cocoapods/FlutterMacOS@1.0.0
,,https://github.com/rustdesk/rustdesk,59524327-31f9-4889-ace0-0b9c9bc16116,library,,num-integer,0.1.45,pkg:cargo/num-integer@0.1.45,"e9171ec2-75fe-40fb-9fd9-017b022df7d8, pkg:cargo/num-traits@0.2.17"
,,https://github.com/rustdesk/rustdesk,5b1258eb-6f5b-422f-adc0-6c647d5160b4,library,,windows-sys,0.45.0,pkg:cargo/windows-sys@0.45.0,pkg:cargo/windows-targets@0.42.2
